"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"request access",57967,"20",1300,"0.00115934",1.507142,0
"request access",38767,"20",1300,"0.00077534",1.0079420000000001,1
"request access",38767,"20",1300,"0.00077534",1.0079420000000001,0
"request access",57967,"20",1300,"0.00115934",1.507142,1
"request access",57967,"20",1300,"0.00115934",1.507142,0
"request access",38767,"20",1300,"0.00077534",1.0079420000000001,0
"request access",57967,"20",1300,"0.00115934",1.507142,1
"request access",38767,"20",1300,"0.00077534",1.0079420000000001,0
"request access",57967,"20",1300,"0.00115934",1.507142,0
"request access",38767,"20",1300,"0.00077534",1.0079420000000001,1
"request access",57967,"20",1300,"0.00115934",1.507142,0
"request access",38767,"20",1300,"0.00077534",1.0079420000000001,0
"request access",57967,"20",1300,"0.00115934",1.507142,1
"request access",38767,"20",1300,"0.00077534",1.0079420000000001,0